"所有者コード","所有者名","住所"
"44754","(株) 愛知オートグループ","愛知県名古屋市港区油屋町3-28-3-40Ｇ"
"44755","(株)ＢＩＲＤ　ＭＯＴＯＲ","福岡県春日市下白水64-5"
"44756","ＲＲ　ｇｅｎｅｒａｌ　ｔｒａｄｉｎｇ(同)","千葉県富津市富津1649"
"44757","(有) 愛知車輌","愛知県名古屋市中川区下之一色町字戌亥島9-7"
"44758","(株) 愛知商会","愛知県名古屋市中川区下之一色町字戌亥島9-7"
"44759","ＧＥＯＲＧＥ　ＫＡＬＩＹＡＨ(株)","千葉県野田市船形765-4"
"44760","滋賀オート (株)","滋賀県米原市野一色828-1"
"44761","(株) ＣＡＳＥ","東京都葛飾区青戸8丁目26-3"
"44762","(株) ＭＯＴＯＺＯＮＯ","福岡県柳川市立石208"
"44763","(有)池田自動車販売","鹿児島県鹿児島市荒田1丁目8-15"
"44764","(株) レイクウインド","大阪府大阪市西区新町1丁目28-3"
"44765","(有)タバタ商会","富山県富山市婦中町下瀬33-1"
"44766","(株)ＬＩＭＩＴＥＤ","北海道中川郡幕別町札内共栄町8-8"
"44767","(株)高橋商店","新潟県新潟市中央区白山浦新町通62-3"
"44768","(株) ジャパン・オートサービス","埼玉県狭山市広瀬台2丁目12-5"
"44770","(株) ゼロインターナショナル","岐阜県美濃加茂市下米田町今623"
"44771","(株)オネスト","兵庫県神戸市北区有野町有野720-1"
"90161","★ 十八総合リース (株)","長崎県長崎市銅座町4-18"
"44361","(株)カーオーク","滋賀県草津市草津町1871-2"
"44363","(株) ＡＬ－ＳＨＵＪＡＨ　ＭＯＴＯＲＳ　ＪＡＰＡＮ","神奈川県相模原市南区西大沼3丁目12-13"
"44364","ＹＡＺＡＫＩ(株)","千葉県八街市八街ほ968-11"
"44365","(株) 神和","福岡県古賀市駅東2丁目9-15"
"44362","(有) マリックモータース","静岡県富士市川尻東95-1"
"44366","(株)坂口","大阪府枚方市須山町79-8"
"44373","(株)ＯＬＹＭＰＩＡＮ　ＨＯＲＳＥ","大阪府堺市南区大庭寺290-11"
"44375","(株) Ｂｏｏｔｈ　ｔｈｅ　Ｌｉｆｅ","鳥取県鳥取市叶148-5"
"44376","(株) ＣＡＲＥＸ","愛知県豊明市栄町南舘240-10"
"42598","(株) 鈴木グローバル","兵庫県神戸市西区神出町小束野58-94"
"42602","(株)トラックン","大阪府大阪市西区立売堀1丁目4-12-5Ｆ"
"42603","(株)ワールド車輌","大阪府大阪市西区立売堀1丁目4-12-5Ｆ"
"42604","伊東貿易(株)","茨城県坂東市幸田804-1"
"42606","三城建機 (株)","埼玉県八潮市八條1506"
"42607","(株)ＴＳＵＧＥ","東京都台東区台東1丁目20-9"
"42608","(株) 宮内自動車","新潟県長岡市平島町17-1"
"42611","(株)アプラスインベストメント","東京都千代田区外神田3丁目12-8"
"42612","ＡＩＢ　ＴＲＡＤＩＮＧ (同)","福岡県福岡市東区原田1丁目1-13-405"
"42613","(有)三好商会","愛媛県松山市善応寺甲14-4"
"42616","(株) 兼松モータース","愛知県江南市赤童子町大堀20"
"43401","ｇｒａｂ(株)","大阪府大阪狭山市池之原1丁目889"
"43402","(株) ＰＲトレーディング","北海道苫小牧市錦岡111-1"
"43403","(株) ＣＫＤ","鳥取県倉吉市上井369-1"
"43404","上田自動車 (有)","岐阜県養老郡養老町石畑1158-1"
"43406","(有) 井之上自動車","静岡県藤枝市立花1丁目5-7"
"43407","(同)ＭＡＳＴＥＲＰＩＥＣＥ","滋賀県東近江市小脇町1801-1"
"43408","(株) ジェーシーコーポレーション","滋賀県高島市安曇川町川島1579-7"
"43409","(株)Ｒ．ＴＲＡＤＩＮＧ","熊本県熊本市南区並建町40"
"43410","ＥｚｏＪａｐａｎ (株)","北海道江別市江別太688-5"
"43411","(同) ザモータートレード","大阪府大阪市西区新町1丁目34-2-501"
"43412","(株)喜丸","神奈川県横浜市神奈川区橋本町2丁目5-3-26Ｆ"
"43413","ＢＥＬＬ貿易(株)","富山県射水市堀岡古明神286"
"43414","(株) スタクトレーシング","奈良県橿原市葛本町367-1-2-107"
"43415","(株) Ｐｒｏｇｒｅｓｓ","埼玉県さいたま市西区西大宮4丁目57-3"
"43416","ＴＥＲＲＹ　ＩＮＶＥＳＴＭＥＮＴ(同)","埼玉県草加市旭町3丁目1-7-201"
"43417","(株) 徳谷自動車","滋賀県蒲生郡竜王町岡屋2547-1"
"43419","(株) マスダオート","埼玉県三郷市上彦名432-1"
"43420","(株)ＡＭＴＥＸ","京都府京都市伏見区毛利町155"
"43421","(株) ガレージ２１","新潟県長岡市高町1丁目59-94"
"43422","(株)ジャストバランス","滋賀県守山市金森町245-8"
"43423","シャキコーポレーション(有)","東京都江東区大島4丁目1-2-107"
"43424","(株) Ｈ・Ａモーター","埼玉県春日部市水角125-1"
"43425","ＭＯＵＮＴ　ＥＶＥＲＥＳＴ　ＴＲＡＤＥＲＳ (株)","群馬県藤岡市中島292"
"44648","(有) ユーアップ","青森県八戸市尻内町字八百刈10-5"
"44649","パクイタリアインターナショナル (株)","岐阜県羽島郡岐南町平島5丁目59-206"
"44650","(株) ＲＯＭ","岐阜県岐阜市西鶉6丁目16-1"
"44652","水城カンパニー (株)","北海道小樽市朝里川温泉1丁目54-27"
"44653","Ａ　Ｈ　Ｎｅｔｗｏｒｋ (株)","愛知県名古屋市港区宝神5丁目1031-1-9Ｂ"
"44654","(株)Ｃｌｕｓｔｅｒ","兵庫県姫路市大津区恵美酒町2丁目44-1"
"44656","(有) 中村モータース","鹿児島県薩摩川内市西開聞町11-29"
"44657","(有) 宮本モータース","福岡県大牟田市久福木17-1"
"44658","(株)ＧＯＥＮ","富山県富山市久郷2-1"
"44659","(株) オートランド一六一","滋賀県大津市雄琴6丁目10-1"
"44661","(有)エーゼット","千葉県野田市木間ケ瀬14-3"
"44651","(株)オートステップ","静岡県富士宮市前田町36-1"
"44662","(株)サンユー商事","福岡県三井郡大刀洗町山隈1314-2"
"44664","(株) ビー・ストリーム","岐阜県可児市下恵土6137-1"
"44665","(有) 宇野モータース","岐阜県山県市高木1481"
"44666","(株)ＺＥＥＳＨＡＮ　ＴＲＡＤＩＮＧ","茨城県桜川市真壁町田1081"
"44667","(株) ワイズソリューション","北海道札幌市中央区北1条西10丁目1-28"
"44668","(株) ホンダカーズ愛知南","愛知県蒲郡市緑町3-3"
"44669","(株) プレジール","福岡県鞍手郡鞍手町中山2933-2"
"44670","(株) ＢＩＧ　ＷＩＤＥ","北海道石狩市花川北1条3丁目214"
"44671","(株)シーアールエス","大阪府豊中市勝部3丁目3-18"
"44672","(株)Ｂｉｋｅ　Ｓｔａｒｓ　Ｌｉｎｋ","大阪府高槻市柱本5丁目15-3"
"44663","(同) カムボトレーディングカンパニー","千葉県袖ヶ浦市飯富2954-1"
"42709","(有)レンタカーこまち","秋田県湯沢市横堀字下新田47-2"
"43487","サリームインターナショナル(株)","富山県高岡市伏木古府元町6-9"
"43488","(株)シーエーディ","大阪府和泉市納花町406-4"
"43489","(有) 太洋自動車","岐阜県大垣市北方町3丁目777-2"
"43490","エムスクエア(株)","千葉県八千代市勝田台南3-15-6"
"43491","(株) ＮＴＣ","愛知県海部郡飛島村梅之郷字中梅2-5"
"43492","(株) Ｃｌｅａｒ　Ｆａｃｔｏｒｙ","埼玉県日高市原宿186-3-Ｋ-102"
"43493","ＭＡＩＮ　ＳＴＲＥＥＴ (株)","神奈川県平塚市達上ケ丘1-40"
"43494","(株) ビッグウェーブＮＥＸＴ","静岡県富士宮市淀平町823-1"
"43495","スーパーノヴァジャパン(株)","大分県別府市上田の湯町12-26"
"43497","(有) ツインズ札幌","北海道札幌市豊平区月寒東3条17丁目9-1"
"43498","Ｌｕｕｐ(株)","東京都港区赤坂4丁目13-5"
"43486","(株)オートヒロ","東京都江戸川区東小岩3丁目11-6"
"43499","(株)アールエヌアイ","富山県富山市小黒838-1"
"43500","ＮＸトランスポート(株)","東京都千代田区神田和泉町2"
"43501","(株)ニューホンダパルス","大阪府高槻市春日町2-25"
"43502","アイディング(株)","神奈川県横浜市都筑区早渕2丁目1-38"
"43503","(株)ＮＩＳＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ","茨城県つくば市上郷7534-1"
"43504","ＭＥＲＧＥ(株)","神奈川県横浜市磯子区杉田6丁目17-5"
"43505","(株)パイン","群馬県前橋市鳥羽町398-1"
"43506","(株) エス・ピー・アール","千葉県木更津市長須賀2137"
"43507","(株)ラグザス・クリエイト","大阪府大阪市北区大深町3-1"
"43508","(株) ＡＢＤＯＵ　ＴＲＡＤＩＮＧ","京都府久世郡久御山町藤和田馬場崎野15-1-503"
"43509","(株)ＦＯＲＴＹ　ＳＥＣＯＮＤ","新潟県新潟市東区大形本町193"
"43510","(株)ＩＮＦＲＯＮＸ","滋賀県甲賀市水口町植348-5"
"43511","(株)ＭＩＮＡＴＯ","滋賀県東近江市能登川町970"
